year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,place
2015,"Milwaukee city, Wisconsin",16000US5553000,600154,216755,231304,110335,22497,2509,79,761,31.6,232104,114000,37495,37495,156573,58321,55,53000
2015,"Oshkosh city, Wisconsin",16000US5560500,66557,,,1972,,,,,33,25719,122900,44689,44689,10258,2348,55,60500
2015,"Racine city, Wisconsin",16000US5566000,77737,39106,17128,18215,690,43,0,206,33.7,29796,98900,42472,42472,16448,4403,55,66000
2015,"Waukesha city, Wisconsin",16000US5584250,71976,,,9713,,,,,35.8,29349,197900,60734,60734,6327,4982,55,84250
2015,"Bayamón zona urbana, Puerto Rico",16000US7206593,170259,,,169155,,,,,39.4,63857,140500,25352,25352,,,72,06593
2015,"Caguas zona urbana, Puerto Rico",16000US7210334,77008,,,76349,,,,,40.4,29813,125300,21204,21204,,,72,10334
2015,"Carolina zona urbana, Puerto Rico",16000US7214290,142066,,,139967,,,,,42,56613,149500,27062,27062,,,72,14290
2015,"Guaynabo zona urbana, Puerto Rico",16000US7232522,70492,,,69936,,,,,42.2,26494,221400,46104,46104,,,72,32522
2015,"Mayagüez zona urbana, Puerto Rico",16000US7252431,66581,,,65521,,,,,38.1,25907,103400,12734,12734,,,72,52431
2015,"Ponce zona urbana, Puerto Rico",16000US7263820,121583,,,120705,,,,,40.5,43063,96900,15751,15751,,,72,63820
2015,"San Juan zona urbana, Puerto Rico",16000US7276770,342237,4148,742,335559,1216,0,0,572,41.4,138436,160200,18887,18887,,,72,76770
